# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	6238
#@/user_id	e0341724-9757-4db9-ae73-47c9a1140b7f
a 	啊	c=4 d=1.2642 t=6238
a si di fen 	阿斯蒂芬	c=0 d=0.0995012 t=6238
a yo 	啊哟	c=0 d=0.0548812 t=6238
ai ni 	爱你	c=0 d=0.083632 t=6238
ai ou 	艾欧	c=0 d=0.0744532 t=6238
an 	按	c=1 d=0.453845 t=6238
an mo 	按摩	c=2 d=1.63342 t=6238
an niu 	按钮	c=5 d=3.87553 t=6238
an quan 	安全	c=1 d=0.19398 t=6238
an se 	暗色	c=1 d=0.965605 t=6238
an shi 	按时	c=0 d=0.0690734 t=6238
an shi da 	安师大	c=0 d=0.0694197 t=6238
an shi da fa diao sha fa shang 	按时打发掉沙发上	c=1 d=0.694197 t=6238
an shi da fa shao a shi da fu 	安师大发烧啊士大夫	c=1 d=0.697676 t=6238
an xian 	暗线	c=1 d=0.895834 t=6238
an xu 	按需	c=1 d=0.937067 t=6238
an zhao 	按照	c=3 d=0.940449 t=6238
an zhuang 	安装	c=82 d=8.1131 t=6238
an zhuang jiao cheng 	安装教程	c=3 d=1.60103 t=6238
an zhuo 	安卓	c=2 d=0.899783 t=6238
ao si ding fa she dian fa 	奥斯丁发射点法	c=1 d=0.843665 t=6238
ba 	吧	c=9 d=3.55327 t=6238
ba 	把	c=21 d=4.47979 t=6238
bai fen hao 	百分号	c=1 d=0.843665 t=6238
bai nian 	百年	c=0 d=0.0501576 t=6238
bai nian ji 	拜年记	c=1 d=0.377192 t=6238
ban 	半	c=0 d=0.0612626 t=6238
ban ben 	版本	c=4 d=2.16189 t=6238
ban ben geng xin 	版本更新	c=1 d=0.101774 t=6238
ban fa 	办法	c=1 d=0.771052 t=6238
ban gong 	办公	c=1 d=0.380983 t=6238
bang di 	邦迪	c=1 d=0.571209 t=6238
bang ding 	绑定	c=1 d=0.474734 t=6238
bang wo 	帮我	c=1 d=0.226502 t=6238
bao 	包	c=14 d=2.28878 t=6238
bao bao 	宝宝	c=2 d=1.06166 t=6238
bao cun 	保存	c=9 d=2.12722 t=6238
bao cun dao 	保存到	c=3 d=1.30454 t=6238
bao cun wei 	保存为	c=2 d=1.35893 t=6238
bao cuo 	报错	c=3 d=1.73086 t=6238
bao han 	包含	c=5 d=2.39702 t=6238
bei 	被	c=7 d=2.59132 t=6238
bei fen 	备份	c=2 d=1.06034 t=6238
bei feng 	被封	c=1 d=0.427415 t=6238
bei jing 	背景	c=13 d=7.4896 t=6238
bei jing yan se 	背景颜色	c=1 d=0.612626 t=6238
bei mei 	北美	c=1 d=0.951229 t=6238
bei wo 	被我	c=1 d=0.677057 t=6238
ben 	本	c=1 d=0.932394 t=6238
ben di shi jian 	本地时间	c=1 d=0.32628 t=6238
ben di zhang hao 	本地账号	c=1 d=1 t=6238
ben ji 	本季	c=1 d=0.351692 t=6238
ben ji 	本机	c=1 d=0.353455 t=6238
ben jiu 	本就	c=1 d=0.396531 t=6238
ben lai jiu 	本来就	c=1 d=0.400517 t=6238
ben shen 	本身	c=1 d=0.164474 t=6238
ben ti 	本体	c=1 d=0.384812 t=6238
bi 	比	c=3 d=0.755034 t=6238
bi a yo 	比啊哟	c=1 d=0.551563 t=6238
bi ji 	笔记	c=1 d=0.250324 t=6238
bi jiao 	比较	c=4 d=1.67532 t=6238
bi jiao hao 	比较好	c=1 d=0.941765 t=6238
bi qi 	比起	c=1 d=0.644036 t=6238
bi qi lai 	比起来	c=1 d=0.980199 t=6238
bi ru 	比如	c=2 d=1.16803 t=6238
bi ru su hong 	比如苏红	c=1 d=0.755784 t=6238
bi xu 	必须	c=3 d=1.02093 t=6238
bi yao 	必要	c=3 d=0.554327 t=6238
bi zhi 	壁纸	c=6 d=2.27117 t=6238
bian hua 	变化	c=3 d=1.54747 t=6238
bian ji 	编辑	c=26 d=3.72967 t=6238
bian ji pei zhi 	编辑配置	c=1 d=0.737123 t=6238
bian ji qi 	编辑器	c=6 d=2.14926 t=6238
bian jie 	便捷	c=0 d=0.0379083 t=6238
bian jie 	边界	c=1 d=0.66034 t=6238
bian jie ma 	编解码	c=3 d=1.00388 t=6238
bian ju 	边距	c=5 d=1.87169 t=6238
bian kuang 	边框	c=3 d=1.60972 t=6238
bian li 	便利	c=3 d=1.48312 t=6238
bian li xing 	便利性	c=3 d=1.52148 t=6238
bian liang 	变量	c=4 d=1.39754 t=6238
bian shi 	辨识	c=1 d=0.191092 t=6238
bian xie 	编写	c=1 d=0.941765 t=6238
bian xie ban 	便携版	c=1 d=0.204948 t=6238
bian yi 	编译	c=1 d=0.918512 t=6238
biao ti 	标题	c=7 d=5.38233 t=6238
biao ti lan 	标题栏	c=1 d=0.12938 t=6238
biao zhuan 	标砖	c=1 d=0.182684 t=6238
biao zhun 	标准	c=11 d=5.25602 t=6238
biao zhun shu chu 	标准输出	c=2 d=1.19474 t=6238
biao zhun shu ru 	标准输入	c=1 d=0.183599 t=6238
bie 	别	c=1 d=0.484325 t=6238
bie de 	别的	c=1 d=0.99005 t=6238
bie de ban fa 	别的办法	c=0 d=0.099005 t=6238
bie ren 	别人	c=2 d=1.13686 t=6238
bing 	并	c=5 d=1.20086 t=6238
bing bu shi 	并不是	c=1 d=0.865022 t=6238
bing du an 	冰毒案	c=0 d=0.0873716 t=6238
bing mei you 	并没有	c=2 d=1.26372 t=6238
bing qie 	并且	c=1 d=0.891366 t=6238
bu 	不	c=6 d=1.94253 t=6238
bu 	补	c=3 d=1.68207 t=6238
bu bi yao 	不必要	c=1 d=0.311923 t=6238
bu chang jian 	不常见	c=1 d=0.276651 t=6238
bu chao guo 	不超过	c=1 d=0.782705 t=6238
bu chuan 	不穿	c=1 d=0.923116 t=6238
bu cun zai 	不存在	c=2 d=0.524706 t=6238
bu dao 	不到	c=1 d=0.810584 t=6238
bu dui 	不对	c=1 d=0.410656 t=6238
bu fang 	不妨	c=1 d=0.431711 t=6238
bu fen 	部分	c=4 d=0.703756 t=6238
bu fu zhi 	不复制	c=1 d=0.941765 t=6238
bu guan bi 	不关闭	c=1 d=0.995012 t=6238
bu guo 	不过	c=1 d=0.951229 t=6238
bu hui 	不会	c=6 d=2.09762 t=6238
bu jian yi 	不建议	c=1 d=0.349938 t=6238
bu ju 	布局	c=7 d=3.94488 t=6238
bu ke neng 	不可能	c=3 d=1.56782 t=6238
bu neng 	不能	c=3 d=1.63474 t=6238
bu she zhi 	不设置	c=2 d=0.923116 t=6238
bu shi 	不是	c=4 d=0.953056 t=6238
bu tai hao 	不太好	c=1 d=0.798516 t=6238
bu tong 	不同	c=3 d=0.761759 t=6238
bu tu 	不图	c=0 d=0.032628 t=6238
bu tu e jian 	不图呃见	c=1 d=0.327915 t=6238
bu tui jian 	不推荐	c=1 d=0.847894 t=6238
bu xing 	不行	c=5 d=2.71172 t=6238
bu xu yao 	不需要	c=2 d=0.476447 t=6238
bu yao 	不要	c=4 d=0.529935 t=6238
bu yi ding 	不一定	c=1 d=0.0824965 t=6238
bu yi yang 	不一样	c=1 d=0.83527 t=6238
bu yong 	不用	c=1 d=0.65377 t=6238
bu yong li hui 	不用理会	c=1 d=0.752014 t=6238
bu zhi dao 	不知道	c=1 d=0.88692 t=6238
bu zhuang 	不装	c=1 d=0.904837 t=6238
cai 	菜	c=0 d=0.0995012 t=6238
cai dan 	菜单	c=9 d=4.31192 t=6238
cai dian 	彩电	c=1 d=0.865022 t=6238
cai dui 	才对	c=1 d=0.511709 t=6238
cai neng 	才能	c=5 d=2.40602 t=6238
cai qu 	采取	c=4 d=3.58377 t=6238
cai shi 	才是	c=2 d=1.29215 t=6238
can dan 	惨淡	c=1 d=0.869358 t=6238
can kao 	参考	c=1 d=0.701173 t=6238
can shu 	参数	c=3 d=0.95433 t=6238
cang ku 	仓库	c=3 d=0.628049 t=6238
cao ni ma 	操你妈	c=0 d=0.00804596 t=6238
ce 	测	c=0 d=0.097531 t=6238
ce bian lan 	侧边栏	c=3 d=2.62585 t=6238
ce lve 	策略	c=1 d=0.88692 t=6238
ceng 	层	c=1 d=0.477325 t=6238
cha biao 	查表	c=1 d=0.594521 t=6238
cha bie 	差别	c=1 d=0.597501 t=6238
cha bu duo 	差不多	c=1 d=0.212248 t=6238
cha dao 	查到	c=1 d=0.180866 t=6238
cha jian 	插件	c=1 d=1 t=6238
cha yi 	差异	c=1 d=0.744532 t=6238
chan sheng 	产生	c=2 d=0.564293 t=6238
chang 	长	c=1 d=0.882497 t=6238
chang gui 	常规	c=1 d=0.895834 t=6238
chang kuan 	长宽	c=1 d=0.763379 t=6238
chang shi 	尝试	c=2 d=0.962672 t=6238
chang tai 	常态	c=1 d=0.995012 t=6238
chang yong 	常用	c=4 d=1.12449 t=6238
chao chu 	超出	c=0 d=0.0960789 t=6238
chao chu wo 	超出我	c=1 d=0.965605 t=6238
chao ji 	超级	c=3 d=1.01024 t=6238
chao pin 	超频	c=1 d=0.527292 t=6238
cheng 	成	c=2 d=0.804355 t=6238
cheng 	称	c=1 d=0.891366 t=6238
cheng gong 	成功	c=4 d=2.6303 t=6238
cheng xu 	程序	c=10 d=2.0149 t=6238
cheng zuo 	称作	c=1 d=0.460704 t=6238
chi 	吃	c=0 d=0.00968105 t=6238
chi le sha 	吃了啥	c=1 d=0.923116 t=6238
chong ming ming 	重命名	c=1 d=0.0997588 t=6238
chong qi 	重启	c=10 d=4.42447 t=6238
chong qi zhong duan 	重启终端	c=1 d=1 t=6238
chong xin 	重新	c=5 d=1.81628 t=6238
chong zuo 	重做	c=1 d=0.740818 t=6238
chou 	丑	c=1 d=0.980199 t=6238
chu 	出	c=3 d=0.791353 t=6238
chu 	处	c=1 d=0.0505395 t=6238
chu ci 	初次	c=1 d=0.138761 t=6238
chu cun 	储存	c=1 d=0.565525 t=6238
chu fa 	出发	c=1 d=0.755784 t=6238
chu fa 	触发	c=1 d=0.771052 t=6238
chu hao ji 	初号机	c=1 d=0.331211 t=6238
chu kou 	出口	c=3 d=0.584905 t=6238
chu lai 	出来	c=1 d=0.387837 t=6238
chu le 	除了	c=2 d=0.685415 t=6238
chu li 	处理	c=5 d=2.35724 t=6238
chu qu 	除去	c=1 d=0.843665 t=6238
chu ru 	出入	c=0 d=0.0449329 t=6238
chu ru dao 	出入到	c=1 d=0.451581 t=6238
chu wen ti 	出问题	c=1 d=0.398519 t=6238
chu xian 	出现	c=6 d=2.68597 t=6238
chu xian ai ni 	出现爱你	c=1 d=0.396531 t=6238
chu xue 	出血	c=1 d=0.744532 t=6238
chu xue 	初学	c=1 d=0.748264 t=6238
chuan 	传	c=0 d=0.0722527 t=6238
chuan dao 	传到	c=3 d=1.17762 t=6238
chuan gei 	传给	c=4 d=1.31147 t=6238
chuan gou 	传够	c=1 d=0.522046 t=6238
chuan lai 	传来	c=1 d=0.588605 t=6238
chuan shu 	传输	c=2 d=0.689599 t=6238
chuan shu gei 	传输给	c=1 d=0.726149 t=6238
chuang 	床	c=0 d=0.0516851 t=6238
chuang jian 	创建	c=6 d=2.1128 t=6238
chuang jian ai ni 	创建爱你	c=2 d=0.367879 t=6238
chuang jian kang 	床健康	c=1 d=0.519442 t=6238
chuang jian kuai zhao 	创建快照	c=1 d=0.522046 t=6238
chuang jian zai 	创建在	c=1 d=0.802519 t=6238
chuang kou 	窗口	c=21 d=6.36044 t=6238
chuang ku 	床库	c=1 d=0.965605 t=6238
chui 	吹	c=0 d=0.0694197 t=6238
chui xi an 	吹西安	c=1 d=0.697676 t=6238
chun tian ran 	纯天然	c=1 d=0.88692 t=6238
chun xiao bai 	纯小白	c=4 d=2.17459 t=6238
ci 	此	c=2 d=1.30084 t=6238
ci chu 	此处	c=3 d=1.04787 t=6238
ci pan 	磁盘	c=1 d=0.794534 t=6238
ci shi 	此时	c=4 d=0.589566 t=6238
ci tie 	磁贴	c=1 d=0.778801 t=6238
ci tie 	磁铁	c=3 d=1.73677 t=6238
ci yao 	次要	c=1 d=0.562705 t=6238
cong 	从	c=28 d=4.41906 t=6238
cong ling kai shi 	从零开始	c=1 d=0.960789 t=6238
cong shang 	从上	c=1 d=0.565525 t=6238
cong zuo 	从左	c=1 d=0.718924 t=6238
cong zuo dao you 	从左到右	c=1 d=0.726149 t=6238
cu cao 	粗糙	c=1 d=0.782705 t=6238
cun zai 	存在	c=1 d=0.369723 t=6238
cuo wu 	错误	c=1 d=0.882497 t=6238
da 	大	c=2 d=0.743527 t=6238
da 	打	c=5 d=2.90272 t=6238
da bao 	打包	c=3 d=0.494714 t=6238
da bu kai 	打不开	c=1 d=0.995012 t=6238
da cheng 	达成	c=1 d=0.70822 t=6238
da fa diao 	打发掉	c=0 d=0.0690734 t=6238
da fang kai lang 	大方开朗	c=0 d=0.0995012 t=6238
da feng shou 	大丰收	c=0 d=0.0767206 t=6238
da fu 	大幅	c=1 d=0.603506 t=6238
da fu sha die 	大幅杀跌	c=0 d=0.366553 t=6238
da gai 	大概	c=1 d=0.418952 t=6238
da gai lv 	大概率	c=1 d=0.733447 t=6238
da jian 	搭建	c=1 d=0.216536 t=6238
da kai 	打开	c=25 d=4.59776 t=6238
da kai fa 	大开发	c=0 d=0.0726149 t=6238
da kai fu jian 	打开附件	c=0 d=0.0726149 t=6238
da kou jing fa lan 	大口径法兰	c=0 d=0.0995012 t=6238
da liang 	大量	c=1 d=0.752014 t=6238
da xiao 	大小	c=4 d=1.44824 t=6238
da yi miao 	打疫苗	c=1 d=1 t=6238
da yin 	打印	c=5 d=1.93844 t=6238
da ying 	答应	c=0 d=0.0402524 t=6238
da ying chu lai 	答应出来	c=1 d=0.404542 t=6238
dai biao 	代表	c=4 d=1.34448 t=6238
dai bu 	逮捕	c=1 d=0.265803 t=6238
dai de 	戴的	c=1 d=0.551734 t=6238
dai hao kou zhao 	戴好口罩	c=1 d=0.484325 t=6238
dai li fei 	代理费	c=0 d=0.083527 t=6238
dai ma 	代码	c=2 d=1.33319 t=6238
dai yi dai 	戴一戴	c=1 d=0.499074 t=6238
dan 	但	c=3 d=1.48596 t=6238
dan chun 	单纯	c=1 d=0.442639 t=6238
dan du 	单独	c=2 d=1.25512 t=6238
dan ge 	单个	c=2 d=1.68543 t=6238
dan shi 	但是	c=17 d=3.49229 t=6238
dan shi wo 	但是我	c=2 d=1.38911 t=6238
dang ni 	当你	c=1 d=0.847894 t=6238
dang qian 	当前	c=6 d=2.29309 t=6238
dang qian hang 	当前行	c=1 d=0.99005 t=6238
dang zuo 	当作	c=1 d=0.83527 t=6238
dao 	到	c=14 d=2.07304 t=6238
dao chu 	导出	c=1 d=0.786628 t=6238
dao ru 	导入	c=4 d=2.6599 t=6238
dao xia 	倒下	c=1 d=0.56836 t=6238
dao xia 	到下	c=1 d=0.571209 t=6238
dao you 	导游	c=1 d=0.722527 t=6238
dao zhe ge 	到这个	c=1 d=0.0911727 t=6238
dao zhi 	导致	c=2 d=0.860708 t=6238
de 	得	c=1 d=0.937067 t=6238
de 	的	c=473 d=27.5099 t=6238
de dao 	得到	c=2 d=0.825523 t=6238
de long ka fei ji 	德龙咖啡机	c=0 d=0.0831104 t=6238
de zhu shi 	的注释	c=1 d=0.941765 t=6238
dei 	得	c=1 d=0.574072 t=6238
deng 	等	c=2 d=0.65102 t=6238
deng deng 	等等	c=2 d=0.789987 t=6238
deng ji fen lei 	等级分类	c=0 d=0.0818731 t=6238
deng kuan 	等宽	c=1 d=0.108067 t=6238
deng lu 	登录	c=3 d=1.38317 t=6238
deng ni 	等你	c=1 d=0.818731 t=6238
di bu 	底部	c=4 d=3.61454 t=6238
di bu xin xi 	底部信息	c=1 d=0.946485 t=6238
di er ge 	第二个	c=2 d=1.60705 t=6238
di er hang 	第二行	c=1 d=0.375311 t=6238
di fang 	地方	c=6 d=0.879255 t=6238
di fang song da fang shi de fang shou duan feng 	地方送达方式的防守端锋	c=1 d=0.937067 t=6238
di fang suo de shui 	地方所得税	c=0 d=0.0763379 t=6238
di li fen jin 	砥砺奋进	c=0 d=0.0618783 t=6238
di san fang 	第三方	c=1 d=0.694197 t=6238
di wu bu 	第五步	c=1 d=0.540641 t=6238
di yi ge 	第一个	c=2 d=1.13927 t=6238
di yi hang 	第一行	c=1 d=0.349938 t=6238
dian 	点	c=2 d=1.23673 t=6238
dian ji 	点击	c=9 d=2.73212 t=6238
dian ji fu kuan 	点击付款	c=0 d=0.0965605 t=6238
dian jie 	电解	c=1 d=0.245367 t=6238
dian jin lai kan 	点进来看	c=0 d=0.0895834 t=6238
dian nao 	电脑	c=2 d=0.364616 t=6238
dian zi zha cai 	电子榨菜	c=1 d=0.839457 t=6238
diao yong 	调用	c=1 d=0.755784 t=6238
ding 	定	c=1 d=0.532592 t=6238
ding bu 	顶部	c=1 d=0.965605 t=6238
ding shi ren wu 	定时任务	c=1 d=0.346456 t=6238
dong 	动	c=0 d=0.0704688 t=6238
dong fa shou fa 	懂法守法	c=0 d=0.0771052 t=6238
dong feng lu 	东风路	c=0 d=0.0856415 t=6238
dong hua 	动画	c=2 d=1.59045 t=6238
dong hua bi zhi 	动画壁纸	c=1 d=0.351692 t=6238
dong tai 	动态	c=1 d=0.506617 t=6238
dong xi 	东西	c=4 d=2.28147 t=6238
dong zuo 	动作	c=1 d=0.895834 t=6238
dou 	都	c=19 d=3.32868 t=6238
dou hao 	逗号	c=1 d=0.332871 t=6238
dou shi 	都是	c=1 d=0.946485 t=6238
dou yao 	都要	c=1 d=0.71177 t=6238
dou yi 	都已	c=1 d=0.1764 t=6238
dou yin 	抖音	c=2 d=1.1801 t=6238
dou you 	都有	c=1 d=0.235746 t=6238
du 	度	c=1 d=0.955997 t=6238
du jue lang fei 	杜绝浪费	c=0 d=0.163264 t=6238
du li kai fa 	独立开发	c=0 d=0.0843665 t=6238
du qu 	读取	c=3 d=1.01899 t=6238
du qu shu ju 	读取数据	c=1 d=0.185444 t=6238
duan 	短	c=1 d=0.458406 t=6238
dui 	对	c=7 d=1.05316 t=6238
dui bie 	对别	c=1 d=0.718924 t=6238
dui de 	对的	c=1 d=0.748264 t=6238
dui die 	堆叠	c=1 d=0.873716 t=6238
dui jie 	对接	c=1 d=0.26982 t=6238
dui shou de fan ji 	对手的反击	c=0 d=0.099005 t=6238
dui ying 	对应	c=3 d=1.21395 t=6238
dui ying cheng xu 	对应程序	c=1 d=0.0492917 t=6238
dui yu 	对于	c=6 d=1.74495 t=6238
duo 	多	c=1 d=0.948405 t=6238
duo fang liao jie 	多方了解	c=0 d=0.0860708 t=6238
duo ge 	多个	c=1 d=0.647265 t=6238
duo hang 	多行	c=2 d=1.37837 t=6238
duo ping mu 	多屏幕	c=1 d=0.680451 t=6238
duo suo fang 	多缩放	c=1 d=0.790571 t=6238
duo xi shou 	多洗手	c=1 d=0.486752 t=6238
duo xian ka 	多显卡	c=2 d=0.775439 t=6238
duo xian shi qi 	多显示器	c=1 d=0.786628 t=6238
e 	呃	c=3 d=1.93631 t=6238
e e 	呃呃	c=1 d=0.99005 t=6238
ei 	欸	c=1 d=0.83527 t=6238
er 	而	c=5 d=0.913931 t=6238
er bu shi 	而不是	c=5 d=2.20235 t=6238
er ding 	而定	c=1 d=0.07502 t=6238
er jin zhi 	二进制	c=2 d=1.16842 t=6238
er shi 	而是	c=2 d=0.999608 t=6238
fa da sheng fen 	发达省份	c=0 d=0.088692 t=6238
fa gei ni 	发给你	c=1 d=0.316637 t=6238
fa gui 	法规	c=0 d=0.0802519 t=6238
fa jia lian sai 	法甲联赛	c=0 d=0.099005 t=6238
fa kuan 	罚款	c=0 d=0.099005 t=6238
fa lv kao shi 	法律考试	c=0 d=0.0895834 t=6238
fa lv kao shi dian jin lai kan 	法律考试点进来看	c=1 d=0.900325 t=6238
fa lv ke ji 	法律科技	c=0 d=0.0995012 t=6238
fa nan 	发难	c=1 d=0.970446 t=6238
fa shao a 	发烧啊	c=0 d=0.0694197 t=6238
fa she su du 	发射速度	c=0 d=0.0985112 t=6238
fa she su du fang shou duan feng song da fang shi de fang shou duan feng 	发射速度防守端锋送达方式的防守端锋	c=1 d=0.99005 t=6238
fa sheng 	发生	c=3 d=1.37021 t=6238
fa sheng de 	发生的	c=1 d=0.98544 t=6238
fa sheng le 	发生了	c=0 d=0.0995012 t=6238
fa song fang shi 	发送方式	c=0 d=0.0759572 t=6238
fa xian 	发现	c=3 d=1.55373 t=6238
fa xing ban 	发行版	c=3 d=1.01224 t=6238
fa xing ban tong yang 	发行版同样	c=1 d=0.155673 t=6238
fan wei 	范围	c=1 d=0.810584 t=6238
fang 	放	c=1 d=0.565525 t=6238
fang an 	方案	c=7 d=2.28627 t=6238
fang bian 	方便	c=5 d=1.76234 t=6238
fang da 	放大	c=0 d=0.0737123 t=6238
fang da wo 	放大我	c=1 d=0.740818 t=6238
fang dao 	放到	c=2 d=0.621885 t=6238
fang fa 	方法	c=10 d=1.40945 t=6238
fang hu 	防护	c=1 d=0.465334 t=6238
fang jian li 	房间里	c=0 d=0.0644036 t=6238
fang kai shou jiao 	放开手脚	c=0 d=0.0726149 t=6238
fang shang qu 	放上去	c=1 d=0.763379 t=6238
fang shi 	方式	c=5 d=0.94446 t=6238
fang shou duan feng 	防守端锋	c=2 d=2.64668 t=6238
fang wei 	方位	c=1 d=0.806541 t=6238
fang xiang 	方向	c=1 d=0.831104 t=6238
fang zai 	放在	c=2 d=1.09862 t=6238
fen 	分	c=4 d=1.2771 t=6238
fen bian lv 	分辨率	c=3 d=1.01424 t=6238
fen bie 	分别	c=2 d=0.454379 t=6238
fen bie shi 	分别是	c=1 d=0.729789 t=6238
fen pei 	分配	c=2 d=0.677496 t=6238
fen qu 	分区	c=2 d=1.45078 t=6238
fen shu 	分数	c=0 d=0.0918512 t=6238
fen shu suo fang 	分数缩放	c=1 d=0.923116 t=6238
fen xiang 	分享	c=1 d=0.571209 t=6238
feng 	枫	c=1 d=0.88692 t=6238
feng he guai 	缝合怪	c=1 d=0.83527 t=6238
feng jian lang kou 	风尖浪口	c=0 d=0.237802 t=6238
feng jian shi da fu 	封建士大夫	c=0 d=0.0211189 t=6238
feng kou ji 	封口机	c=0 d=0.190438 t=6238
feng kou lang jian 	风口浪尖	c=0 d=0.0995012 t=6238
fo shan shi 	佛山市	c=1 d=0.980199 t=6238
fou ze 	否则	c=1 d=0.2334 t=6238
fu dong 	浮动	c=1 d=0.701173 t=6238
fu gai diao 	覆盖掉	c=1 d=0.612626 t=6238
fu hao 	符号	c=2 d=0.509156 t=6238
fu jia 	附加	c=1 d=0.467666 t=6238
fu jian sheng 	福建省	c=0 d=0.0831104 t=6238
fu lan ke 	弗兰克	c=0 d=0.0873716 t=6238
fu lan ke jing shen dong li kai ji 	弗兰克精神动力开机	c=1 d=0.878095 t=6238
fu lu 	附录	c=10 d=1.76544 t=6238
fu shen jue ding 	复审决定	c=0 d=0.0856415 t=6238
fu shu 	负数	c=3 d=2.49849 t=6238
fu wu 	服务	c=4 d=1.9144 t=6238
fu zhi 	复制	c=4 d=2.69908 t=6238
fu zhi dao 	复制到	c=2 d=0.995012 t=6238
fu zhi guo lai 	复制过来	c=1 d=0.970446 t=6238
fu zhi wo de 	复制我的	c=1 d=0.965605 t=6238
fu zhi yi duan 	复制一段	c=1 d=0.631284 t=6238
fu zhi zhan tie 	复制粘贴	c=1 d=0.759572 t=6238
gai 	改	c=5 d=2.42413 t=6238
gai 	该	c=3 d=0.479505 t=6238
gai chen 	该沉	c=1 d=0.421052 t=6238
gai cheng 	改成	c=10 d=2.58345 t=6238
gai shui jiao 	该睡觉	c=0 d=0.0744532 t=6238
gai shui jiao ai ou 	该睡觉艾欧	c=1 d=0.748264 t=6238
gai zhe ge 	改这个	c=3 d=1.83849 t=6238
gai zheng 	改正	c=1 d=0.680451 t=6238
gan jing 	干净	c=7 d=2.25458 t=6238
gan jue 	感觉	c=2 d=1.19847 t=6238
gan ma 	干嘛	c=2 d=0.995012 t=6238
gan mao 	感冒	c=1 d=0.759572 t=6238
gan xie 	感谢	c=2 d=1.99501 t=6238
gang 	刚	c=1 d=0.856415 t=6238
gang gang 	刚刚	c=4 d=1.19808 t=6238
gao 	高	c=1 d=0.960789 t=6238
gao dao 	搞到	c=0 d=0.0865022 t=6238
gao ji 	高级	c=2 d=1.35869 t=6238
gao liang 	高亮	c=5 d=4.0515 t=6238
gao luan 	搞乱	c=1 d=0.609571 t=6238
gao po huai 	搞破坏	c=1 d=1 t=6238
gao su wo 	告诉我	c=2 d=1.36943 t=6238
gao xiao 	搞笑	c=1 d=0.733447 t=6238
ge 	个	c=3 d=1.65797 t=6238
ge lei 	各类	c=1 d=0.196912 t=6238
ge ren 	个人	c=1 d=0.535261 t=6238
ge shi 	格式	c=8 d=1.70462 t=6238
ge shi hua 	格式化	c=1 d=0.782705 t=6238
ge zhi 	搁置	c=1 d=0.29671 t=6238
ge zhong 	各种	c=1 d=0.19398 t=6238
ge zi 	各自	c=1 d=0.298197 t=6238
gei 	给	c=5 d=2.15071 t=6238
gei ni 	给你	c=1 d=0.585669 t=6238
gei wo 	给我	c=1 d=0.082085 t=6238
gen ben 	根本	c=1 d=0.891366 t=6238
gen ju 	根据	c=4 d=0.415172 t=6238
gen ni 	跟你	c=1 d=0.847894 t=6238
geng 	更	c=8 d=1.82828 t=6238
geng duo 	更多	c=3 d=1.16026 t=6238
geng gai 	更改	c=5 d=4.00564 t=6238
geng hao yong 	更好用	c=3 d=0.741331 t=6238
geng huan 	更换	c=14 d=3.32978 t=6238
geng huan bi zhi 	更换壁纸	c=1 d=0.465334 t=6238
geng huan ta men 	更换他们	c=1 d=0.472367 t=6238
geng ju 	更具	c=1 d=0.0731678 t=6238
geng qiang da 	更强大	c=1 d=0.554327 t=6238
geng xian dai 	更现代	c=2 d=0.29711 t=6238
geng xin 	更新	c=4 d=1.15164 t=6238
gong 	公	c=0 d=0.099005 t=6238
gong eng 	公嗯	c=1 d=0.806541 t=6238
